Variable/Field Name,Matrix Group Name,Minimal (Required),Mandatory,Section,Field Type,Label,Code,Default,Validation Type,Validation Min,Validation Max,Field Note,Branching Logic,FHIR Resource,FHIR - Question Coding,FHIR - Answer Coding,Note
record_id,,Yes,Yes,,text,Patient ID,,,,,,,,Patient,,,
sex,,Yes,Yes,Observation,dropdown,Sex,0; male | 1; female,,,,,MINIMAL,,Observation,"{""system"": ""http://loinc.org"",""code"": ""76689-9"",""display"": ""Sex assigned at birth""}","{0: {""system"":""http://loinc.org"",""code"":""LA2-8"",""display"":""Male""}, 1: {""system"":""http://loinc.org"",""code"":""LA3-6"",""display"":""Female""}}",
onsetage,,Yes,Yes,Condition,text,Age at diagnosis,,,integer,0,110,MINIMAL,,Condition,"[""onsetage"" ]","{""value"":onsetage,""unit"":""years"",""code"":""a"",""system"":""http://unitsofmeasure.org""}",
histopat,,Yes,Yes,Condition,dropdown,Histological Type of tumour,0; Adenocarcinoma NOS | 1; Mixed adenocarcinoma & Mucinous | 2; Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN) | 3; Mucinous | 4; Neuroendocrine NOS,,,,,MINIMAL,,Condition,"[""code"":{""coding"":histopat}","{0:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8140/3"",""display"":""Adenocarcinoma NOS""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8246/3"",""display"":""Neuroendocrine Carcinoma, NOS""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8154/3"",""display"":""Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8480/3"",""display"":""Mucinous adenocarcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8255/3"",""display"":""Adenocarcinoma with mixed subtypes""}}",
histopat_2,,No,No,Condition,dropdown,Additional Histological Type of tumour (only if needed),0; Adenocarcinoma NOS | 1; Mixed adenocarcinoma & Mucinous | 2; Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN) | 3; Mucinous | 4; Neuroendocrine NOS,,,,,RECOMMENDED,"[histopat] <> """"",Condition,"[""code"":{""coding"":histopat_2}","{0:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8140/3"",""display"":""Adenocarcinoma NOS""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8246/3"",""display"":""Neuroendocrine Carcinoma, NOS""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8154/3"",""display"":""Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8480/3"",""display"":""Mucinous adenocarcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8255/3"",""display"":""Adenocarcinoma with mixed subtypes""}}",
histopat_3,,No,No,Condition,dropdown,Additional Histological Type of tumour (only if needed),0; Adenocarcinoma NOS | 1; Mixed adenocarcinoma & Mucinous | 2; Mixed neuroendocrine-non-neuroendocrine neoplasm (MiNEN) | 3; Mucinous | 4; Neuroendocrine NOS,,,,,RECOMMENDED,"[histopat_2] <> """"",Condition,"[""code"":{""coding"":histopat_3}","{0:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8140/3"",""display"":""Adenocarcinoma NOS""},1:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8246/3"",""display"":""Neuroendocrine Carcinoma, NOS""},2:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8154/3"",""display"":""Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)""},3:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8480/3"",""display"":""Mucinous adenocarcinoma""},4:{""system"":""http://terminology.hl7.org/CodeSystem/icd-o-3"",""code"":""8255/3"",""display"":""Adenocarcinoma with mixed subtypes""}}",
tnm_ct,,Yes,Yes,Observation,dropdown,Clinical t category (cT),0; cTX | 1; cT0 | 2; cTis | 3; cT1 | 4; cT2 | 5; cT3 | 6; cT4 | 7; cT4a | 8; cT4b,,,,,MINIMAL,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222585009"",""display"":""American Joint Committee on Cancer clinical T category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1222604002"",""display"":""cTX""},1:{""system"":""http://snomed.info/sct"",""code"":""1228882005"",""display"":""cT0""},2:{""system"":""http://snomed.info/sct"",""code"":""1228884006"",""display"":""cTis""},3:{""system"":""http://snomed.info/sct"",""code"":""1228889001"",""display"":""cT1""},4:{""system"":""http://snomed.info/sct"",""code"":""1228929004"",""display"":""cT2""},5:{""system"":""http://snomed.info/sct"",""code"":""1228938002"",""display"":""cT3""},6:{""system"":""http://snomed.info/sct"",""code"":""1228944003"",""display"":""cT4""},7:{""system"":""http://snomed.info/sct"",""code"":""1228945002"",""display"":""cT4a""},8:{""system"":""http://snomed.info/sct"",""code"":""1228946001"",""display"":""cT4b""}}",
tnm_ypt,ptnm (start),No,Yes,Observation,dropdown,Pathological t category (ypT),0; pTX | 1; pT0 | 2; pTis | 3; pT1 | 4; pT2 | 5; pT3 | 6; pT4 | 7; pT4a | 8; pT4b,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222589003"",""display"":""American Joint Committee on Cancer pathological T category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1228950008"",""display"":""pTx""},1:{""system"":""http://snomed.info/sct"",""code"":""1228951007"",""display"":""pT0""},2:{""system"":""http://snomed.info/sct"",""code"":""1228953005"",""display"":""pTis""},3:{""system"":""http://snomed.info/sct"",""code"":""1228957006"",""display"":""pT1""},4:{""system"":""http://snomed.info/sct"",""code"":""1229852009"",""display"":""pT2""},5:{""system"":""http://snomed.info/sct"",""code"":""1229859000"",""display"":""pT3""},6:{""system"":""http://snomed.info/sct"",""code"":""1229864001"",""display"":""pT4""},7:{""system"":""http://snomed.info/sct"",""code"":""1229865000"",""display"":""pT4a""},8:{""system"":""http://snomed.info/sct"",""code"":""1229866004"",""display"":""pT4b""}}",
tnm_ypn,ptnm,No,Yes,Observation,dropdown,Pathological n category (ypN),0; pNX | 1; pN0 | 2; pN1 | 3; pN2,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222590007"",""display"":""American Joint Committee on Cancer pathological N category allowable value (qualifier value)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1229945006"",""display"":""pNX""},1:{""system"":""http://snomed.info/sct"",""code"":""1229947003"",""display"":""pN0""},2:{""system"":""http://snomed.info/sct"",""code"":""1229951001"",""display"":""pN1""},3:{""system"":""http://snomed.info/sct"",""code"":""1229957002"",""display"":""pN2""}}",
tnm_ypm,ptnm (end),No,Yes,Observation,dropdown,Pathological m category (ypM),0; pM0 | 1; pM1 | 2; pM1a | 3; pM1b | 4; pM1c,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""1222591006"",""display"":""American Joint Committee on Cancer pathological M category allowable value (qualifier value)""}","{0:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C48740"",""display"":""pM0 TNM Finding""},1:{""system"":""http://snomed.info/sct"",""code"":""1229916009"",""display"":""pM1""},2:{""system"":""http://snomed.info/sct"",""code"":""1229917000"",""display"":""pM1a""},3:{""system"":""http://snomed.info/sct"",""code"":""1229920008"",""display"":""pM1b""},4:{""system"":""http://snomed.info/sct"",""code"":""1229923005"",""display"":""pM1c""}}",
grade,,No,Yes,Observation,dropdown,Tumor grade,0; Grade 1 | 1; Grade 2 | 2; Grade 3 | 3; Grade X,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""258244004"",""display"":""Tumor histopathological grade status values (tumor staging)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1228845001"",""display"":""American Joint Committee on Cancer grade GX (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""1228848004"",""display"":""American Joint Committee on Cancer grade G1 (qualifier value)""},2:{""system"":""http://snomed.info/sct"",""code"":""1228850007"",""display"":""American Joint Committee on Cancer grade G2 (qualifier value)""},3:{""system"":""http://snomed.info/sct"",""code"":""1228851006"",""display"":""American Joint Committee on Cancer grade G3 (qualifier value)""}}",
lymp_inv,,No,Yes,Observation,dropdown,Lymphovascular invasion,0; presence | 1; absence | 2; unknown,,,,,MANDATORY,,Observation,"{""system"":""http://loinc.org"",""code"":""LP428220-0"",""display"":""Lymphovascular invasion""}","{0:{""system"":""http://snomed.info/sct"",""code"":""52101004"",""display"":""Present (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""2667000"",""display"":""Absent (qualifier value)""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown (qualifier value)""}}",
perineural_inv,,No,Yes,Observation,dropdown,Perineural invasion,0; presence | 1; absence | 2; unknown,,,,,MANDATORY,,Observation,"{""system"":""http://loinc.org"",""code"":""92837-4"",""display"":""Perineural invasion [Presence] in Cancer specimen""}","{0:{""system"":""http://snomed.info/sct"",""code"":""52101004"",""display"":""Present (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""2667000"",""display"":""Absent (qualifier value)""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown (qualifier value)""}}",
emvi,,No,Yes,Observation,dropdown,EMVI (Extramural vascular invasion),0; not-identified | 1; present,,,,,MANDATORY,,Observation,"{""system"":""http://loinc.org"",""code"":""84889-5"",""display"":""Extramural vein invasion [Presence] in Colorectal cancer specimen by Light microscopy""}","{0:{""system"":""http://snomed.info/sct"",""code"":""52101004"",""display"":""Present (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""2667000"",""display"":""Absent (qualifier value)""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown (qualifier value)""}}",
n_lymphnodes,,No,Yes,Observation,text,Number of Lymph nodes examined,,,integer,,,MANDATORY,,Observation,"{""system"":""http://loinc.org"",""code"":""21894-1"",""display"":""Regional lymph nodes examined [#] Specimen""}","{""value"":n_lymphnodes,""unit"":""Unit"",""system"":""http://unitsofmeasure.org"",""code"":""U""}",
n_met_ln,,Yes,Yes,Observation,text,Number of metastatic lymph nodes,,,integer,,,MINIMAL,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""443527007"",""display"":""Number of lymph nodes containing metastatic neoplasm in excised specimen (observable entity)""}","{""value"":n_met_ln,""unit"":""Unit"",""system"":""http://unitsofmeasure.org"",""code"":""U""}",
tumor_deposits,,No,No,Observation,dropdown,Tumour deposits,0; presence | 1; absence | 2; unknown,,,,,RECOMMENDED,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""630001000004109"",display:""Presence of metastatic discontinuous spread of malignant neoplasm of colon to pericolic tissue (observable entity)""}","{0:{""system"":""http://snomed.info/sct"",""code"":""52101004"",""display"":""Present (qualifier value)""},1:{""system"":""http://snomed.info/sct"",""code"":""2667000"",""display"":""Absent (qualifier value)""},2:{""system"":""http://snomed.info/sct"",""code"":""261665006"",""display"":""Unknown (qualifier value)""}}",
trg,,No,No,Observation,dropdown,Tumor regression evaluation (Modified Ryan Scheme for Tumor Regression Grade),0; Grade 0 | 1; Grade 1 | 2; Grade 2 | 3; Grade 3 | 4; Gx,,,,,RECOMMENDED,,Observation,"{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C155939"",""display"":""Modified Ryan Scheme for Tumor Regression""}","{0:{""system"":""http://snomed.info/sct"",""code"":""1155705000"",""display"":""GX: Histologic grade cannot be assessed (qualifier value)""},1:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C155941"",""display"":""Tumor Regression Score 0""},2:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C155942"",""display"":""Tumor Regression Score 1""},3:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C155943"",""display"":""Tumor Regression Score 2""},4:{""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C155944"",""display"":""Tumor Regression Score 3""}}",
radiotherapy,,No,Yes,Procedure,dropdown,Radiotherapy,0; not-done | 1; stopped | 2; completed | 3; unknown,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""108290001"",""display"":""Radiation oncology AND/OR radiotherapy (procedure)""}",,
surgery,,No,Yes,Procedure,dropdown,Surgery,0; not-done | 1; completed | 2; unknown,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""387713003"",""display"":""Surgical procedure (procedure)""}",,
chemo,,No,Yes,Medication Administration,dropdown,Chemotherapy,0; not-done | 1; stopped | 2; completed | 3; unknown,,,,,MANDATORY,,Observation,"{""system"":""http://snomed.info/sct"",""code"":""400001000004103"",""display"":""Neoadjuvant antineoplastic therapy (procedure)""}",,
chemo_drug,,No,No,Medication Administration,dropdown,Chemotherapy agent (Neoadjuvant Systemic Treatment),"0; Capecitabine | 1; Fluorouracil | 2; FOLFIRI (fluorouracil, irinotecan) | 3; FOLFIRINOX (fluorouracil, irinotecan, oxaliplatin) | 4; FOLFOX (fluorouracil, oxaliplatin)",,,,,RECOMMENDED,"[chemo] <> """,MedicationAdministration,"""medicationCodeableConcept"":{""coding"":chemo_drug}","{0: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""194000"",""display"":""Capecitabine""},1: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""4492"",""display"":""Fluorouracil""},2: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C63593"",""display"":""FOLFIRI""},3: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11764"",""display"":""FOLFIRINOX""},4: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11197"",""display"":""FOLFOX""}}",
chemo_dose,,No,No,Medication Administration,text,Chemotherapy accumulation dose (mg/m²),,,number,,,RECOMMENDED,"[chemo_drug] <> """,MedicationAdministration,"[""dosage""] = {""dose"":chemo_dose}","{""value"":chemo_dose,""unit"":""milligram per square meter"",""system"":""http://unitsofmeasure.org"",""code"":""mg/m2""}",
chemo_dur,,No,No,Medication Administration,text,Duration of chemotherapy (weeks),,,integer,,,RECOMMENDED,"[chemo_drug] <> """,MedicationAdministration,"[""effectivePeriod""]","{""start"":1970-01-01T00:00:00+00:00,end:""start""+chemo_dur}",effectivePeriod variable has anonymized dates. The duration is the difference in time between both dates.
neoadj,,Yes ([chemo_drug] <> ''),Yes,Medication Administration,text,Completed neoadjuvant treatment (number of cycles),,,integer,,,"MINIMAL - If there is no neoadjuvant treatment, write 0",,MedicationAdministration,"[""status""]","{0: ""not-done"", 1: ""stopped"", 2: ""completed"", 3: ""unknown""}",
chemo_drug_2,,No,No,Medication Administration,dropdown,Additional chemotherapy agent (Neoadjuvant Systemic Treatment),"0; Capecitabine | 1; Fluorouracil | 2; FOLFIRI (fluorouracil, irinotecan) | 3; FOLFIRINOX (fluorouracil, irinotecan, oxaliplatin) | 4; FOLFOX (fluorouracil, oxaliplatin)",,,,,RECOMMENDED,[chemo_drug] <> '',MedicationAdministration,"""medicationCodeableConcept"":{""coding"":chemo_drug_2}","{0: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""194000"",""display"":""Capecitabine""},1: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""4492"",""display"":""Fluorouracil""},2: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C63593"",""display"":""FOLFIRI""},3: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11764"",""display"":""FOLFIRINOX""},4: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11197"",""display"":""FOLFOX""}}",
chemo_dose_2,,No,No,Medication Administration,text,Additional chemotherapy accumulation dose (mg/m²),,,number,,,RECOMMENDED,[chemo_drug_2] <> '',MedicationAdministration,"[""dosage""] = {""dose"":chemo_dose_2}","{""value"":chemo_dose,""unit"":""milligram per square meter"",""system"":""http://unitsofmeasure.org"",""code"":""mg/m2""}",
chemo_dur_2,,No,No,Medication Administration,text,Duration of additional chemotherapy (weeks),,,integer,,,RECOMMENDED,[chemo_drug_2] <> '',MedicationAdministration,"[""effectivePeriod""]","{""start"":1970-01-01T00:00:00+00:00,end:""start""+chemo_dur_2}",effectivePeriod variable has anonymized dates. The duration is the difference in time between both dates.
neoadj_2,,Yes ([chemo_drug_2] <> ''),Yes,Medication Administration,text,Completed additional neoadjuvant treatment (number of cycles),,,integer,,,MINIMAL,[chemo_drug_2] <> '',MedicationAdministration,"[""status""]","{0: ""not-done"", 1: ""stopped"", 2: ""completed"", 3: ""unknown""}",
chemo_drug_3,,No,No,Medication Administration,dropdown,Second additional chemotherapy agent (Neoadjuvant Systemic Treatment),"0; Capecitabine | 1; Fluorouracil | 2; FOLFIRI (fluorouracil, irinotecan) | 3; FOLFIRINOX (fluorouracil, irinotecan, oxaliplatin) | 4; FOLFOX (fluorouracil, oxaliplatin)",,,,,RECOMMENDED,[chemo_drug_2] <> '',MedicationAdministration,"""medicationCodeableConcept"":{""coding"":chemo_drug_3}","{0: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""194000"",""display"":""Capecitabine""},1: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""4492"",""display"":""Fluorouracil""},2: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C63593"",""display"":""FOLFIRI""},3: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11764"",""display"":""FOLFIRINOX""},4: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11197"",""display"":""FOLFOX""}}",
chemo_dose_3,,No,No,Medication Administration,text,Second additional chemotherapy accumulation dose (mg/m²),,,number,,,RECOMMENDED,[chemo_drug_3] <> '',MedicationAdministration,"[""dosage""] = {""dose"":chemo_dose_3}","{""value"":chemo_dose,""unit"":""milligram per square meter"",""system"":""http://unitsofmeasure.org"",""code"":""mg/m2""}",
chemo_dur_3,,No,No,Medication Administration,text,Duration of second additional chemotherapy (weeks),,,integer,,,RECOMMENDED,[chemo_drug_3] <> '',MedicationAdministration,"[""effectivePeriod""]","{""start"":1970-01-01T00:00:00+00:00,end:""start""+chemo_dur_3}",effectivePeriod variable has anonymized dates. The duration is the difference in time between both dates.
neoadj_3,,Yes ([chemo_drug_3] <> ''),Yes,Medication Administration,text,Completed second additional neoadjuvant treatment (number of cycles),,,integer,,,MINIMAL,[chemo_drug_3] <> '',MedicationAdministration,"[""status""]","{0: ""not-done"", 1: ""stopped"", 2: ""completed"", 3: ""unknown""}",
chemo_drug_4,,No,No,Medication Administration,dropdown,Third additional chemotherapy agent (Neoadjuvant Systemic Treatment),"0; Capecitabine | 1; Fluorouracil | 2; FOLFIRI (fluorouracil, irinotecan) | 3; FOLFIRINOX (fluorouracil, irinotecan, oxaliplatin) | 4; FOLFOX (fluorouracil, oxaliplatin)",,,,,RECOMMENDED,[chemo_drug_3] <> '',MedicationAdministration,"""medicationCodeableConcept"":{""coding"":chemo_drug_4}","{0: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""194000"",""display"":""Capecitabine""},1: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""4492"",""display"":""Fluorouracil""},2: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C63593"",""display"":""FOLFIRI""},3: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11764"",""display"":""FOLFIRINOX""},4: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11197"",""display"":""FOLFOX""}}",
chemo_dose_4,,No,No,Medication Administration,text,Third additional chemotherapy accumulation dose (mg/m²),,,number,,,RECOMMENDED,[chemo_drug_4] <> '',MedicationAdministration,"[""dosage""] = {""dose"":chemo_dose_4}","{""value"":chemo_dose,""unit"":""milligram per square meter"",""system"":""http://unitsofmeasure.org"",""code"":""mg/m2""}",
chemo_dur_4,,No,No,Medication Administration,text,Duration of third additional chemotherapy (weeks),,,integer,,,RECOMMENDED,[chemo_drug_4] <> '',MedicationAdministration,"[""effectivePeriod""]","{""start"":1970-01-01T00:00:00+00:00,end:""start""+chemo_dur_4}",effectivePeriod variable has anonymized dates. The duration is the difference in time between both dates.
neoadj_4,,Yes ([chemo_drug_4] <> ''),Yes,Medication Administration,text,Completed third additional neoadjuvant treatment (number of cycles),,,integer,,,MINIMAL,[chemo_drug_4] <> '',MedicationAdministration,"[""status""]","{0: ""not-done"", 1: ""stopped"", 2: ""completed"", 3: ""unknown""}",
chemo_drug_5,,No,No,Medication Administration,dropdown,Fourth additional chemotherapy agent (Neoadjuvant Systemic Treatment),"0; Capecitabine | 1; Fluorouracil | 2; FOLFIRI (fluorouracil, irinotecan) | 3; FOLFIRINOX (fluorouracil, irinotecan, oxaliplatin) | 4; FOLFOX (fluorouracil, oxaliplatin)",,,,,RECOMMENDED,[chemo_drug_4] <> '',MedicationAdministration,"""medicationCodeableConcept"":{""coding"":chemo_drug_5}","{0: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""194000"",""display"":""Capecitabine""},1: {""system"":""http://www.nlm.nih.gov/research/umls/rxnorm"",""code"":""4492"",""display"":""Fluorouracil""},2: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C63593"",""display"":""FOLFIRI""},3: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11764"",""display"":""FOLFIRINOX""},4: {""system"":""http://ncithesaurus-stage.nci.nih.gov"",""code"":""C11197"",""display"":""FOLFOX""}}",
chemo_dose_5,,No,No,Medication Administration,text,Fourth additional chemotherapy accumulation dose (mg/m²),,,number,,,RECOMMENDED,[chemo_drug_5] <> '',MedicationAdministration,"[""dosage""] = {""dose"":chemo_dose_5}","{""value"":chemo_dose,""unit"":""milligram per square meter"",""system"":""http://unitsofmeasure.org"",""code"":""mg/m2""}",
chemo_dur_5,,No,No,Medication Administration,text,Duration of fourth additional chemotherapy (weeks),,,integer,,,RECOMMENDED,[chemo_drug_5] <> '',MedicationAdministration,"[""effectivePeriod""]","{""start"":1970-01-01T00:00:00+00:00,end:""start""+chemo_dur_5}",effectivePeriod variable has anonymized dates. The duration is the difference in time between both dates.
neoadj_5,,Yes ([chemo_drug_5] <> ''),Yes,Medication Administration,text,Completed fourth additional neoadjuvant treatment (number of cycles),,,integer,,,MINIMAL,[chemo_drug_5] <> '',MedicationAdministration,"[""status""]","{0: ""not-done"", 1: ""stopped"", 2: ""completed"", 3: ""unknown""}",
neoadj_surgery,,No,No,Medication Administration - Neoadjuvant,text,Time interval between the end of neoadjuvant treatment and surgery (months),,,integer,,,RECOMMENDED,,,"{""system"":""http://snomed.info/sct"",""code"":""307474000:398201009=400001000004103,397898000=387713003"",display:""Intervals of weeks and months where Start time = Neoadjuvant antineoplastic therapy, and Stop time = Surgical procedure""}",,
use_case_4_and_5_complete,,No,No,Form Status,dropdown,Complete?,0; Incomplete | 1; Unverified | 2; Complete,,,,,,,,,,